id,odds,win_loss_amount,bet_with,bet_amount,bet_against,bet_date,game,win_loss_code,tournament
tn3x3zqnnCEFVoOOEsFO,2.3,-85.0,WanZhen,85.0,Kai Lun,2024-07-28,hok,LOSS,king_growth_league
tpcZv6j0PothDo6HPx4Y,1.61,-85.0,Geek Fam ID,85.0,NIP Flash,2024-07-30,mlbb,LOSS,snapdragon_pro_series
tsfxH1hxVvGHwL3MqlIK,2.37,-25.0,Sengoku,25.0,FENNEL,2024-07-27,valorant,LOSS,challengers_japan
u8BkvJz7au4w6DrLM2hy,2.18,185.3,Fire Flux,85.0,RRQ Akira,2024-07-04,mlbb,WIN,msc
urNzqBRk4s1ZaWrr6zRO,3.38,84.5,Rapid Lofi,25.0,Flash,2024-07-17,valorant,WIN,challengers_vietnam
urWdERnVpnx87rO5RLXJ,3.48,87.0,KaBuM Academy,25.0,Vivo Keyd Stars Academy,2024-07-24,lol,WIN,cblol_academy
vRWNFiH2yx4QTnMOENW9,3.24,81.0,Omega Empress,25.0,Vitality,2024-07-27,mlbb,WIN,mwi
vpTmhbXrDTfSVMLdaZJ9,2.04,173.4,HomeBois,85.0,Twisted Minds,2024-07-05,mlbb,WIN,msc
wmtWFoeYj74KeEUwtVny,2.05,52.25,GIANTX,25.0,Heretics,2024-07-21,lol,WIN,lec
yOcFVpqloCYqoVRNOSCT,2.83,70.75,Trained to Kill,25,IHC,2024-06-29,mlbb,WIN,msc
ye1iXP5jrOQsoYp2CCbl,2.17,-85.0,Titan King's Legion,85.0,Hero JiuJing,2024-07-21,hok,LOSS,king_pro_league
yh09qD8sSqNQjYZrg2Fn,2.16,54.0,1WIN,25.0,HEROIC,2024-07-28,dota2,WIN,elite_league
z7BSWitvizkTnO6zLOI8,2.77,-25.0,VEC,25.0,Nongshim RedForce,2024-07-17,valorant,LOSS,challengers_korea
z8I9lkmxRAJlgAMt0xa1,2.01,170.85,Rogue Warriors,85.0,Weibo,2024-07-17,hok,WIN,king_pro_league
zxv3TBvaB9Eyyd9g6lLU,2.21,-25.0,Natus Vincere,25.0,Vitality,2024-07-16,valorant,LOSS,champions_tour_americas
