,id,left_team_name,date,right_team_name,draw_odds,winner,game,left_odds,right_odds
131,jpo4UCFvA0Ot4FzEVZp0,Marcin Prachnio,Jul 27,Modestas Bukauskas,,,mma,2.1,1.65
132,k7vru9CxfTSbvZeJ3oH8,Shopify Rebellion,Jul 14,BASILISK,,,starcraft,3.65,1.23
133,kCZI7swr1KoArToFI6Di,FLUFFY AIMERS,Jul 9,DarkZero,,FLUFFY AIMERS,valorant,2.91,1.34
134,kO4Fqg0bTyeWO0vfCids,Wildcard,Jul 10,Arial Arise,,,r6,1.08,6.12
135,kPI5oKwNGddgIUr0zwLw,Nigma Galaxy,Jul 9,Geekay,,Geekay,lol,1.99,1.7
136,kubKXEmrnVVpnoCDO155,ODDIK,Jul 10,Patins da Ferrari,,ODDIK,csgo,1.42,2.62
137,lNVPTrRPhwwI9tVgoksu,Tyson Fury,Dec 21,Oleksandr Usyk,,,boxing,2.45,1.48
138,lhOiomVUO3q6nCyRsyKy,Charles Johnson,Jul 13,Joshua Van,,,mma,2.6,1.43
139,mT8iezfBXPnivkkHHeft,Bill Algeo,Jul 21,Dooho Choi,,,mma,1.55,2.29
140,n0RTFhBtKMDoJp3Etegs,SLT,Jul 10,VEC,,SLT,valorant,1.25,3.5
141,n9mDZGCD1TqtlCVTRQDy,Kaynan Kruschewsky,Jul 21,Kurt Holobaugh,,,mma,1.58,2.22
142,nJXxNm3cTTxm5DWsC3qc,Hawks,Jul 11,Case,,Case,csgo,4.42,1.17
143,nOiwtX6mULY20G6N9X33,Virtus.pro,Jul 17,Complexity,,,csgo,1.63,2.12
144,nnimJkukwUyrpA3EtBxn,Cody Brundage,Jul 14,Abdul Razak Alhassan,,,mma,2.27,1.56
145,npJtmc0KdH1CJXZgw3Zg,Spirit,Jul 17,MIBR,,,csgo,1.11,5.67
146,o31o86jA97MN0Li4FIsk,Blacklist International,Jul 10,Aurora,1.9,,dota2,4.23,3.1
147,o62dQ62PJD7ZzXWasMKd,SCARZ,Jul 10,Murash,,Murash,valorant,1.39,2.71
148,oKwgFCkl2iFe9Wu6O5YL,Purple Haze,Jul 10,Seight,,Purple Haze,csgo,1.52,2.34
149,oLRdRprm8fvZiiisvWPz,Fnatic,Jul 10,Liquid,,Fnatic,valorant,1.19,4.0
150,oiBxMVV7jCZqOL2UrbOl,Back2TheGame,Jul 9,Forsaken,,Back2TheGame,lol,2.72,1.38
