id,left_team_name,date,right_team_name,draw_odds,winner,game,left_odds,right_odds
LOiMNLjk06V9Z2GXcJtm,9z GC,Jul 10,FiRePOWER,,9z GC,valorant,1.21,3.81
LXOB306z9QBIupzha9KP,Case,Jul 9,W7M,,W7M,csgo,1.72,1.98
Lv2EXGWKZ9sUoEvilzN4,Ninjas in Pyjamas,Jul 19,JD Gaming,,,lol,4.31,1.20
LxKGlQvehD9xacasqEJj,FURIA Academy,Jul 9,MIBR Academy,,MIBR Academy,csgo,1.27,3.38
LzoAWEZidh19H2rdfwh1,Mighty Tiger Gaming,Jul 14,Victorious,,Mighty Tiger Gaming,hok,1.11,5.49
MDbQx6vRpJF8Zaco1jK5,JunYong Park,Jul 21,Brad Tavares,,,mma,1.48,2.45
MJPDZjD5hoeiXAV14JCX,Ninjas in Pyjamas,Jul 19,JD Gaming,,,lol,4.51,1.19
MOtwGOQmUyVo1ddAzYeb,Detonation FocusMe,Jul 20,Sengoku,,,lol,1.04,8.03
MOyNWKbzPdTSl3ok8fk0,Revenant,Jul 12,Verdant,,Revenant,csgo,1.29,3.22
MUCoXOeHW6uu2jxa4uQf,Orbit Anonymo,Jul 9,devils.one,,devils.one,lol,1.80,1.87
MVArsRWavX4zm9kHNP5a,Atlanta FaZe,Jul 18,Miami Heretics,,,cod,1.13,4.14
MjixbSwgiqi4iTD0QLUJ,Vaqueros De La Laguna,Jul 18,Tecolotes de los Dos Laredos,,,baseball,2.10,1.65
NEnWAd3iQ6Xwt80RGU3o,SK Prime,Jul 19,Schalke 04,,,lol,1.09,5.84
NRKMbNcV8ZqwxEqwHU5u,INTZ,Jul 20,FURIA,,,lol,1.70,2.07
NnCcL3SMHcyox6OHxpGI,One Move,Jul 9,NAVI Junior,2.00,Draw,dota2,5.15,2.38
NpvCuHiZ1D4yWazvj6nB,PSG Talon,Jul 31,Liquid,,,r6,2.79,1.35
OBq8GnWT1xIi3B3xwHzo,Israil Madrimov,Aug 4,Terence Crawford,,,boxing,5.82,1.10
PHcc5pfpNeTWMxqiRs7T,Fake GA,Jul 17,espartaco,,,rocket-league,2.50,1.45
PMe8Isv8pXOXgXdki8Cr,Elhem Mekhaled,Jul 20,Chantelle Cameron,,,boxing,7.67,1.05
PkqMWvR3t1g5iW88PiIG,Avernus,Jul 10,Oasis,,Oasis,valorant,7.66,1.05
Q9e9ONKvLDzmpHxN8gxp,Infinity,Jul 9,Isurus,1.92,Draw,lol,5.95,2.33
QJzbAhpRRPGmZx3dKGT7,BDS,Jul 31,Cruelty,,,r6,1.07,6.30
QcvfYhIS7kiayhZwrLCR,Team WE,Jul 10,Royal Never Give Up,,Team WE,hok,1.42,2.61
Qrp1RacG92pTCaA0boIi,Hanwha Life Challengers,Jul 19,FearX Youth,,,lol,2.41,1.48
QvR5hRsTcgXTf8Xyd5Dz,Andrei Mikhailovich,Jul 14,Janibek Alimkhanuly,,Draw,boxing,10.49,1.01
R5ZiMqd1PqVHwU408kdD,Tundra,Jul 10,MOUZ,2.08,Tundra,dota2,2.18,6.77
RciGOoKFXOjoxKGgaVUg,G2,Jul 17,TheMongolZ,,,csgo,1.58,2.20
ReeH1iGoV6ybz9vLSJ6g,Imperial,Jul 18,T2M4SS,,,csgo,1.02,10.10
